Id,Name,Date of birth,Status,Seat id,Berth,Coach name,Coach type,Travel,Seat status
0,ppp,23-09-2000,booked,2,Middle,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\MiddleSeats.csv
1,kkk,23-09-2000,booked,3,Upper,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\UpperSeats.csv
2,nnn,23-09-2000,booked,1,Lower,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\LowerSeats.csv
3,yyy,23-09-2000,booked,4,Rac,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\RacSeats.csv
4,bbb,23-09-2000,booked,WL1,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
5,vvv,23-09-2000,booked,WL2,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
6,ppp,23-09-2000,booked,WL3,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
7,kkk,23-09-2000,booked,WL4,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
8,nnn,23-09-2000,booked,WL5,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
9,yyy,23-09-2000,booked,WL6,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
10,bbb,23-09-2000,booked,WL7,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
11,vvv,23-09-2000,booked,WL8,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
12,ppp,23-09-2000,booked,WL9,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
13,kkk,23-09-2000,booked,WL10,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
14,nnn,23-09-2000,booked,WL11,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
15,yyy,23-09-2000,booked,WL12,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
16,bbb,23-09-2000,booked,WL13,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
17,vvv,23-09-2000,booked,WL14,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
18,ppp,23-09-2000,booked,1,Lower,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\LowerSeats.csv
19,kkk,23-09-2000,booked,2,Middle,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\MiddleSeats.csv
20,nnn,23-09-2000,booked,3,Upper,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\UpperSeats.csv
21,yyy,23-09-2000,booked,4,Rac,S1,Sitting,-,KANYAKUMARI EXPRESS\21-06-2023\RacSeats.csv
22,bbb,23-09-2000,booked,WL15,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
23,vvv,23-09-2000,booked,WL16,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
24,ppp,23-09-2000,booked,WL17,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
25,kkk,23-09-2000,booked,WL18,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
26,nnn,23-09-2000,booked,WL19,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
27,yyy,23-09-2000,booked,WL20,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
28,bbb,23-09-2000,booked,WL21,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
29,vvv,23-09-2000,booked,WL22,WaitingList,---,---,-,KANYAKUMARI EXPRESS\21-06-2023\WaitingListSeats.csv
